Age,Years of Experience,Salary
32.0,5.0,90000.0
28.0,3.0,65000.0
45.0,15.0,150000.0
36.0,7.0,60000.0
52.0,20.0,200000.0
29.0,2.0,55000.0
42.0,12.0,120000.0
31.0,4.0,80000.0
26.0,1.0,45000.0
38.0,10.0,110000.0
29.0,3.0,75000.0
48.0,18.0,140000.0
35.0,6.0,65000.0
40.0,14.0,130000.0
27.0,2.0,40000.0
44.0,16.0,125000.0
33.0,7.0,90000.0
39.0,12.0,115000.0
25.0,0.0,35000.0
51.0,22.0,180000.0
34.0,5.0,80000.0
47.0,19.0,190000.0
30.0,2.0,50000.0
36.0,9.0,60000.0
41.0,13.0,140000.0
28.0,3.0,45000.0
37.0,11.0,110000.0
24.0,1.0,40000.0
43.0,15.0,140000.0
33.0,6.0,90000.0
50.0,25.0,250000.0
31.0,4.0,55000.0
29.0,3.0,75000.0
39.0,10.0,65000.0
46.0,20.0,170000.0
27.0,2.0,45000.0
35.0,7.0,60000.0
42.0,14.0,115000.0
26.0,1.0,40000.0
49.0,21.0,160000.0
34.0,5.0,80000.0
48.0,18.0,190000.0
30.0,3.0,60000.0
36.0,8.0,45000.0
41.0,13.0,130000.0
28.0,2.0,40000.0
32.0,5.0,75000.0
45.0,16.0,180000.0
38.0,11.0,120000.0
25.0,0.0,35000.0
51.0,22.0,130000.0
33.0,7.0,85000.0
40.0,12.0,60000.0
47.0,19.0,200000.0
29.0,3.0,50000.0
36.0,9.0,95000.0
27.0,2.0,65000.0
43.0,17.0,140000.0
30.0,4.0,55000.0
35.0,7.0,105000.0
51.0,23.0,170000.0
29.0,3.0,50000.0
40.0,12.0,80000.0
47.0,21.0,180000.0
26.0,1.0,35000.0
38.0,10.0,90000.0
46.0,19.0,120000.0
31.0,5.0,45000.0
34.0,8.0,90000.0
49.0,18.0,150000.0
33.0,6.0,65000.0
39.0,11.0,70000.0
45.0,16.0,190000.0
28.0,2.0,40000.0
42.0,14.0,120000.0
37.0,10.0,95000.0
50.0,22.0,160000.0
32.0,6.0,100000.0
48.0,20.0,180000.0
30.0,3.0,55000.0
36.0,8.0,70000.0
41.0,13.0,80000.0
25.0,0.0,30000.0
52.0,24.0,250000.0
29.0,2.0,40000.0
34.0,10.0,95000.0
27.0,2.0,45000.0
40.0,15.0,80000.0
46.0,21.0,135000.0
31.0,6.0,55000.0
36.0,11.0,120000.0
29.0,3.0,40000.0
43.0,18.0,105000.0
52.0,25.0,170000.0
33.0,7.0,75000.0
39.0,12.0,65000.0
47.0,22.0,160000.0
26.0,1.0,35000.0
38.0,10.0,90000.0
45.0,20.0,110000.0
31.0,5.0,45000.0
35.0,8.0,95000.0
49.0,19.0,150000.0
33.0,5.0,50000.0
39.0,13.0,80000.0
44.0,16.0,220000.0
30.0,3.0,50000.0
36.0,7.0,60000.0
41.0,14.0,100000.0
28.0,2.0,40000.0
42.0,15.0,110000.0
37.0,9.0,95000.0
50.0,22.0,130000.0
32.0,6.0,90000.0
23.0,0.5,35000.0
31.0,6.0,95000.0
40.0,15.0,65000.0
48.0,20.0,170000.0
29.0,3.0,45000.0
35.0,10.0,120000.0
42.0,17.0,100000.0
53.0,25.0,180000.0
33.0,5.0,50000.0
38.0,11.0,80000.0
44.0,16.0,140000.0
26.0,2.0,40000.0
37.0,9.0,95000.0
45.0,18.0,110000.0
32.0,4.0,50000.0
34.0,8.0,105000.0
50.0,21.0,160000.0
29.0,3.0,45000.0
40.0,12.0,100000.0
47.0,22.0,160000.0
27.0,1.0,35000.0
39.0,10.0,55000.0
46.0,19.0,140000.0
30.0,4.0,50000.0
36.0,7.0,60000.0
43.0,14.0,120000.0
28.0,2.0,40000.0
41.0,13.0,110000.0
33.0,5.0,50000.0
47.0,20.0,135000.0
25.0,1.5,40000.0
34.0,8.0,90000.0
42.0,16.0,150000.0
31.0,4.0,60000.0
38.0,10.0,80000.0
45.0,19.0,175000.0
29.0,3.0,45000.0
36.0,11.0,120000.0
43.0,18.0,140000.0
26.0,2.0,35000.0
37.0,9.0,95000.0
44.0,14.0,110000.0
32.0,5.0,50000.0
33.0,7.0,115000.0
51.0,23.0,185000.0
28.0,2.0,40000.0
39.0,12.0,90000.0
48.0,21.0,175000.0
30.0,3.0,45000.0
35.0,7.0,80000.0
41.0,13.0,120000.0
27.0,1.5,35000.0
40.0,14.0,110000.0
46.0,18.0,150000.0
31.0,4.0,50000.0
34.0,9.0,105000.0
50.0,20.0,180000.0
29.0,2.0,40000.0
,,
43.0,16.0,140000.0
26.0,1.5,45000.0
35.0,7.0,85000.0
42.0,18.0,140000.0
31.0,4.0,50000.0
38.0,10.0,80000.0
46.0,20.0,170000.0
29.0,2.0,40000.0
37.0,9.0,105000.0
44.0,15.0,145000.0
27.0,2.0,40000.0
36.0,8.0,85000.0
43.0,14.0,130000.0
33.0,6.0,95000.0
34.0,9.0,100000.0
50.0,22.0,180000.0
28.0,1.5,35000.0
39.0,12.0,95000.0
47.0,19.0,170000.0
30.0,3.0,45000.0
34.0,7.0,95000.0
40.0,13.0,120000.0
28.0,2.0,40000.0
41.0,11.0,90000.0
45.0,17.0,155000.0
32.0,5.0,55000.0
35.0,9.0,110000.0
49.0,21.0,180000.0
30.0,3.0,45000.0
44.0,16.0,130000.0
27.0,1.5,45000.0
36.0,7.0,90000.0
41.0,17.0,160000.0
31.0,4.0,50000.0
39.0,10.0,120000.0
47.0,20.0,170000.0
30.0,2.0,40000.0
38.0,9.0,110000.0
45.0,15.0,150000.0
28.0,2.0,40000.0
35.0,8.0,85000.0
44.0,14.0,130000.0
34.0,6.0,100000.0
35.0,9.0,95000.0
50.0,22.0,180000.0
29.0,1.5,35000.0
40.0,12.0,100000.0
48.0,19.0,170000.0
31.0,3.0,45000.0
33.0,7.0,100000.0
42.0,13.0,140000.0
28.0,2.0,40000.0
40.0,11.0,105000.0
46.0,18.0,160000.0
33.0,5.0,70000.0
37.0,9.0,120000.0
51.0,21.0,190000.0
30.0,3.0,45000.0
43.0,15.0,120000.0
27.0,1.5,50000.0
35.0,8.0,85000.0
42.0,13.0,140000.0
32.0,3.0,45000.0
37.0,9.0,100000.0
45.0,16.0,140000.0
33.0,5.0,70000.0
39.0,10.0,120000.0
44.0,18.0,160000.0
29.0,1.5,40000.0
38.0,10.0,120000.0
46.0,19.0,150000.0
34.0,6.0,70000.0
36.0,8.0,95000.0
49.0,21.0,180000.0
31.0,3.0,50000.0
41.0,11.0,95000.0
47.0,20.0,170000.0
30.0,2.0,40000.0
38.0,9.0,110000.0
45.0,15.0,150000.0
28.0,2.0,40000.0
35.0,8.0,85000.0
44.0,14.0,130000.0
34.0,6.0,100000.0
35.0,9.0,95000.0
50.0,22.0,180000.0
29.0,1.5,350.0
,,
37.0,10.0,120000.0
46.0,18.0,160000.0
31.0,3.0,50000.0
42.0,12.0,110000.0
29.0,1.5,40000.0
36.0,8.0,95000.0
44.0,15.0,140000.0
33.0,4.0,60000.0
39.0,9.0,110000.0
45.0,16.0,150000.0
32.0,4.0,60000.0
37.0,8.0,90000.0
47.0,20.0,180000.0
30.0,2.0,40000.0
38.0,9.0,120000.0
46.0,17.0,160000.0
34.0,5.0,70000.0
36.0,8.0,95000.0
49.0,21.0,180000.0
31.0,3.0,50000.0
41.0,11.0,95000.0
47.0,19.0,170000.0
29.0,1.5,35000.0
35.0,9.0,100000.0
44.0,15.0,150000.0
33.0,4.0,60000.0
35.0,8.0,85000.0
44.0,13.0,130000.0
32.0,4.0,65000.0
38.0,10.0,110000.0
49.0,21.0,180000.0
29.0,2.0,40000.0
35.0,7.0,90000.0
45.0,14.0,140000.0
33.0,4.0,60000.0
40.0,12.0,130000.0
44.0,16.0,160000.0
30.0,2.0,40000.0
37.0,9.0,100000.0
48.0,20.0,180000.0
31.0,3.0,55000.0
38.0,9.0,120000.0
45.0,16.0,150000.0
33.0,5.0,70000.0
36.0,8.0,95000.0
49.0,21.0,180000.0
31.0,3.0,50000.0
42.0,12.0,120000.0
47.0,19.0,170000.0
29.0,1.5,35000.0
35.0,9.0,100000.0
44.0,15.0,150000.0
33.0,4.0,60000.0
35.0,8.0,85000.0
44.0,13.0,130000.0
